,metric,value,step
121,Loss/train,0.22331373393535614,3082944.0
122,Loss/train,0.2022615671157837,3086144.0
123,Loss/train,0.21408908069133759,3089344.0
124,Loss/train,0.19439144432544708,3092544.0
125,Loss/train,0.18848441541194916,3095744.0
126,Loss/train,0.15414075553417206,3098944.0
127,Loss/train,0.15532395243644714,3102144.0
128,Loss/train,0.18338645994663239,3105344.0
129,Loss/train,0.18146517872810364,3108544.0
130,Loss/train,0.18897664546966553,3111744.0
131,Loss/train,0.2054949849843979,3114944.0
132,Loss/train,0.18487675487995148,3118144.0
133,Loss/train,0.16184943914413452,3121344.0
134,Loss/train,0.18159838020801544,3124544.0
135,Loss/train,0.17176955938339233,3127744.0
136,Loss/train,0.2202197015285492,3130944.0
137,Loss/train,0.18877974152565002,3134144.0
138,Loss/train,0.213712677359581,3137344.0
139,Loss/train,0.16554713249206543,3140544.0
140,Loss/train,0.14677391946315765,3143744.0
141,Loss/train,0.1566450297832489,3146944.0
142,Loss/train,0.1803116649389267,3150144.0
143,Loss/train,0.14065924286842346,3153344.0
144,Loss/train,0.20037242770195007,3156544.0
145,Loss/train,0.15370632708072662,3159744.0
146,Loss/train,0.1545092612504959,3162944.0
147,Loss/train,0.14710430800914764,3166144.0
148,Loss/train,0.15572404861450195,3169344.0
149,Loss/train,0.15484076738357544,3172544.0
150,Loss/train,0.1421533077955246,3175744.0
151,Loss/train,0.16862209141254425,3178944.0
152,Loss/train,0.18505440652370453,3182144.0
153,Loss/train,0.17314958572387695,3185344.0
154,Loss/train,0.2015145868062973,3188544.0
155,Loss/train,0.18840064108371735,3191744.0
156,Loss/train,0.13495320081710815,3194944.0
157,Loss/train,0.13650941848754883,3198144.0
158,Loss/train,0.18058691918849945,3201344.0
159,Loss/train,0.15308363735675812,3204544.0
160,Loss/train,0.19352911412715912,3207744.0
161,Loss/train,0.16150151193141937,3210944.0
162,Loss/train,0.19620202481746674,3214144.0
163,Loss/train,0.17192114889621735,3217344.0
164,Loss/train,0.1707005351781845,3220544.0
165,Loss/train,0.199908047914505,3223744.0
166,Loss/train,0.1667124181985855,3226944.0
167,Loss/train,0.18581609427928925,3230144.0
168,Loss/train,0.19364026188850403,3233344.0
169,Loss/train,0.19097714126110077,3236544.0
170,Loss/train,0.1709916889667511,3239744.0
171,Loss/train,0.20850004255771637,3242944.0
172,Loss/train,0.20278353989124298,3246144.0
173,Loss/train,0.14249497652053833,3249344.0
174,Loss/train,0.15967635810375214,3252544.0
175,Loss/train,0.127472385764122,3255744.0
176,Loss/train,0.13686558604240417,3258944.0
177,Loss/train,0.1583336889743805,3262144.0
178,Loss/train,0.1719018816947937,3265344.0
179,Loss/train,0.10839176177978516,3268544.0
180,Loss/train,0.15059740841388702,3271744.0
181,Loss/train,0.14431945979595184,3274944.0
182,Loss/train,0.15884557366371155,3278144.0
183,Loss/train,0.19812798500061035,3281344.0
184,Loss/train,0.1443338692188263,3284544.0
185,Loss/train,0.17540736496448517,3287744.0
186,Loss/train,0.14506162703037262,3290944.0
187,Loss/train,0.16849853098392487,3294144.0
188,Loss/train,0.13377563655376434,3297344.0
189,Loss/train,0.2095475196838379,3300544.0
190,Loss/train,0.15813399851322174,3303744.0
191,Loss/train,0.20878593623638153,3306944.0
192,Loss/train,0.17587882280349731,3310144.0
193,Loss/train,0.16103136539459229,3313344.0
194,Loss/train,0.1719074249267578,3316544.0
195,Loss/train,0.14344140887260437,3319744.0
196,Loss/train,0.20462828874588013,3322944.0
197,Loss/train,0.18158674240112305,3326144.0
198,Loss/train,0.20836175978183746,3329344.0
199,Loss/train,0.17687781155109406,3332544.0
